Title,Abstract,StoreId,ArticleType,Authors,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,FindACopy,Database
"The Lowthers (Romeo, Juliet) Now Are One","North Conway, N.H., Jan. 5. -- The turbulent, parent-balked romance of pretty socialite, Eileen (Juliet) Herrick and George (Romeo) Lowther 3d rocketed into a long-delayed rendezvous with a preacher in this White Mountain ski center today.",151263752,Historical Newspapers," By the Associated Press
By the Associated Press"," Copyright The Washington Post Company Jan 6, 1940"," 287476772 , 2235172 , 48614", article," Jan 6, 1940",, English, English, 3," Washington, D.C.","Jan 6, 1940",The Washington Post (1923-1954),1940,http://search.proquest.com/docview/151263752?accountid=14496, 3,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpwashingtonpost&amp;atitle=The+Lowthers+%28Romeo%2C+Juliet%29+Now+Are+One&amp;title=The+Washington+Post+%281923-1954%29&amp;issn=&amp;date=1940-01-06&amp;volume=&amp;issue=&amp;spage=3&amp;au=By+the+Associated+Press&amp;isbn=&amp;jtitle=The+Washington+Post+%281923-1954%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The Washington Post
MOUNT VERNON SEMINARY,"OLDEST NONSECTARIAN boarding school for girls in Washington -- and one of the most distinguished -- is Mount Vernon Seminary, which occupies a beautiful campus on Nebraska avenue.",151333213,Historical Newspapers,," Copyright The Washington Post Company Mar 17, 1940"," 216404212 , 1944792 , 48614", article," Mar 17, 1940",, English, English,," Washington, D.C.","Mar 17, 1940",The Washington Post (1923-1954),1940,http://search.proquest.com/docview/151333213?accountid=14496, OT5,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpwashingtonpost&amp;atitle=MOUNT+VERNON+SEMINARY&amp;title=The+Washington+Post+%281923-1954%29&amp;issn=&amp;date=1940-03-17&amp;volume=&amp;issue=&amp;spage=OT5&amp;au=&amp;isbn=&amp;jtitle=The+Washington+Post+%281923-1954%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The Washington Post
FOUR INJURED IN FIRE,,105402434,Historical Newspapers,," Copyright New York Times Company Mar 27, 1940"," 94811791-1 , 1543552 , 43896", article," Mar 27, 1940",0362-4331, English, English,," New York, N.Y.","Mar 27, 1940",New York Times (1923-Current file),1940,http://search.proquest.com/docview/105402434?accountid=14496, 20,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimeswindex&amp;atitle=FOUR+INJURED+IN+FIRE%3A+WOMAN+GRAVELY+BURNED--BRONX+ROOMING+HOUSE+IS+WRECKED&amp;title=New+York+Times+%281923-Current+file%29&amp;issn=03624331&amp;date=1940-03-27&amp;volume=&amp;issue=&amp;spage=20&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281923-Current+file%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The New York Times with Index
The Shopper's Notebook,,165072601,Historical Newspapers," Bartlett, Maxine
Maxine
Maxine Bartlett
Bartlett
MAXINE BARTLETT"," Copyright Times Mirror Company Jul 25, 1940"," 410161211 , 5704662 , 53850", article," Jul 25, 1940",0458-3035, English, English, A6," Los Angeles, Calif.","Jul 25, 1940",Los Angeles Times (1923-Current File),1940,http://search.proquest.com/docview/165072601?accountid=14496, A6,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnplatimes&amp;atitle=The+Shopper%27s+Notebook%3A+Wire+Rack+Handy+for+Housewife+Who+Finds+Kitchen+Space+Limited&amp;title=Los+Angeles+Times+%281923-Current+File%29&amp;issn=04583035&amp;date=1940-07-25&amp;volume=&amp;issue=&amp;spage=A6&amp;au=Bartlett%2C+Maxine&amp;isbn=&amp;jtitle=Los+Angeles+Times+%281923-Current+File%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Los Angeles Times
BRITISH LAUNCH DRIVE TO EXCEED NAZI PRODUCTION,,176500791,Historical Newspapers," Rue, Larry
Larry
Larry Rue
Rue
LARRY RUE"," Copyright Tribune Publishing Company Nov 5, 1940"," 466870232 , 6062662 , 53854", article," Nov 5, 1940",, English, English,," Chicago, Ill.","Nov 5, 1940",Chicago Daily Tribune (1923-1963),1940,http://search.proquest.com/docview/176500791?accountid=14496, 11,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagotribune&amp;atitle=BRITISH+LAUNCH+DRIVE+TO+EXCEED+NAZI+PRODUCTION%3A+GOAL+HELD+POSSIBLE+IN+SIX+MONTHS.&amp;title=Chicago+Daily+Tribune+%281923-1963%29&amp;issn=&amp;date=1940-11-05&amp;volume=&amp;issue=&amp;spage=11&amp;au=Rue%2C+Larry&amp;isbn=&amp;jtitle=Chicago+Daily+Tribune+%281923-1963%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Tribune
DIES IN PARK AVE. BLAST,,105325123,Historical Newspapers,," Copyright New York Times Company Nov 30, 1940"," 113121416-1 , 1641674 , 43896", article," Nov 30, 1940",0362-4331, English, English,," New York, N.Y.","Nov 30, 1940",New York Times (1923-Current file),1940,http://search.proquest.com/docview/105325123?accountid=14496, 32,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimeswindex&amp;atitle=DIES+IN+PARK+AVE.+BLAST%3A+PLANE+DESIGNER+FOUND+AFTER+GAS+EXPLOSION+IN+EX-WIFE%27S+HOME&amp;title=New+York+Times+%281923-Current+file%29&amp;issn=03624331&amp;date=1940-11-30&amp;volume=&amp;issue=&amp;spage=32&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281923-Current+file%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The New York Times with Index
"MOTHER KILLS CHILD, THEN ENDS HER LIFE","After killing her 7-year-old daughter by gas poisoning while attempting to end her own life, Mrs. John Peck ran to the roof of the six-story apartment house at 36-11 Bowne Street, Flushing, Queens, shortly after 2:20 o'clock this morning and jumped to her death in the courtyard below.",106108423,Historical Newspapers,," Copyright New York Times Company Mar 25, 1941"," 85265565-1 , 1494680 , 43896", article," Mar 25, 1941",0362-4331, English, English,," New York, N.Y.","Mar 25, 1941",New York Times (1923-Current file),1941,http://search.proquest.com/docview/106108423?accountid=14496, 25,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimeswindex&amp;atitle=MOTHER+KILLS+CHILD%2C+THEN+ENDS+HER+LIFE%3A+JUMPS+FROM+ROOF+AFTER+TURNING+ON+GAS+IN+FLUSHING&amp;title=New+York+Times+%281923-Current+file%29&amp;issn=03624331&amp;date=1941-03-25&amp;volume=&amp;issue=&amp;spage=25&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281923-Current+file%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The New York Times with Index
Rents Average $52 for New D.C. Dwellings,"The average monthly rental asked for the 6,900 dwelling units constructed for rent in the District in the last 15 months is $52, according to a survey conducted by the Work Projects Administration.",151363091,Historical Newspapers,," Copyright The Washington Post Company Jun 13, 1941"," 227604822 , 1983992 , 48614", article," Jun 13, 1941",, English, English,," Washington, D.C.","Jun 13, 1941",The Washington Post (1923-1954),1941,http://search.proquest.com/docview/151363091?accountid=14496, 27,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpwashingtonpost&amp;atitle=Rents+Average+%2452+for+New+D.C.+Dwellings&amp;title=The+Washington+Post+%281923-1954%29&amp;issn=&amp;date=1941-06-13&amp;volume=&amp;issue=&amp;spage=27&amp;au=&amp;isbn=&amp;jtitle=The+Washington+Post+%281923-1954%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The Washington Post
URBAN TO USE OWN CAMPUS,,165173179,Historical Newspapers,," Copyright Times Mirror Company Jun 20, 1941"," 411345941 , 5708012 , 53850", article," Jun 20, 1941",0458-3035, English, English, B8," Los Angeles, Calif.","Jun 20, 1941",Los Angeles Times (1923-Current File),1941,http://search.proquest.com/docview/165173179?accountid=14496, B8,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnplatimes&amp;atitle=URBAN+TO+USE+OWN+CAMPUS&amp;title=Los+Angeles+Times+%281923-Current+File%29&amp;issn=04583035&amp;date=1941-06-20&amp;volume=&amp;issue=&amp;spage=B8&amp;au=&amp;isbn=&amp;jtitle=Los+Angeles+Times+%281923-Current+File%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Los Angeles Times
"Bruce Petway, Catcher Of National Fame, Dies","Death ""tagged"" Buddy Petway, Friday, at the Cook county hospital where he had been sick a month--but Buddy went out smiling just as he took things in life. Tuesday afternoon, former teammates of Buddy, listened to the...",492599104,Historical Newspapers,," Copyright Real Times, Inc. Jul 12, 1941"," 740981082 , 7289292 , 68419", article," Jul 12, 1941",, English, English, 24," Chicago, Ill.","Jul 12, 1941",The Chicago Defender (National edition) (1921-1967),1941,http://search.proquest.com/docview/492599104?accountid=14496, 24,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagodefender&amp;atitle=Bruce+Petway%2C+Catcher+Of+National+Fame%2C+Dies&amp;title=The+Chicago+Defender+%28National+edition%29+%281921-1967%29&amp;issn=&amp;date=1941-07-12&amp;volume=&amp;issue=&amp;spage=24&amp;au=&amp;isbn=&amp;jtitle=The+Chicago+Defender+%28National+edition%29+%281921-1967%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Defender
Home Spray Erases Odors of Cooking,"The charm of daintiness cannot be overemphasized, daintiness in your personal appearance and in your home. Not every girl realizes this and we know of one who lost a favorite beau because her rooms smelled of cooking every time...",165237942,Historical Newspapers," Lane, Lydia
Lydia
Lydia Lane
Lane
LYDIA LANE"," Copyright Times Mirror Company Jul 15, 1941"," 414269421 , 5721572 , 53850", article," Jul 15, 1941",0458-3035, English, English, A7," Los Angeles, Calif.","Jul 15, 1941",Los Angeles Times (1923-Current File),1941,http://search.proquest.com/docview/165237942?accountid=14496, A7,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnplatimes&amp;atitle=Home+Spray+Erases+Odors+of+Cooking&amp;title=Los+Angeles+Times+%281923-Current+File%29&amp;issn=04583035&amp;date=1941-07-15&amp;volume=&amp;issue=&amp;spage=A7&amp;au=Lane%2C+Lydia&amp;isbn=&amp;jtitle=Los+Angeles+Times+%281923-Current+File%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Los Angeles Times
Residence Is Altered Into Ten Apartments,,106048407,Historical Newspapers,," Copyright New York Times Company Jul 20, 1941"," 105159838-1 , 1594213 , 43896", article," Jul 20, 1941",0362-4331, English, English,," New York, N.Y.","Jul 20, 1941",New York Times (1923-Current file),1941,http://search.proquest.com/docview/106048407?accountid=14496, RE8,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimeswindex&amp;atitle=Residence+Is+Altered+Into+Ten+Apartments&amp;title=New+York+Times+%281923-Current+file%29&amp;issn=03624331&amp;date=1941-07-20&amp;volume=&amp;issue=&amp;spage=RE8&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281923-Current+file%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The New York Times with Index
So Mr. Pelham Took His Pride And Hurried Home,"Poor Mr. William Pelham, white, is concluding that there just ain't no such thing as justice any more. In the first place, the price of a good time on Chicago's South side is much too dear.",492599708,Historical Newspapers," Orro, David H
David
David H Orro
Orro
H
DAVID H ORRO"," Copyright Real Times, Inc. Aug 9, 1941"," 740997332 , 7289332 , 68419", article," Aug 9, 1941",, English, English, 19," Chicago, Ill.","Aug 9, 1941",The Chicago Defender (National edition) (1921-1967),1941,http://search.proquest.com/docview/492599708?accountid=14496, 19,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagodefender&amp;atitle=So+Mr.+Pelham+Took+His+Pride+And+Hurried+Home&amp;title=The+Chicago+Defender+%28National+edition%29+%281921-1967%29&amp;issn=&amp;date=1941-08-09&amp;volume=&amp;issue=&amp;spage=19&amp;au=Orro%2C+David+H&amp;isbn=&amp;jtitle=The+Chicago+Defender+%28National+edition%29+%281921-1967%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Defender
Good Cooking Still Helps a Girl Win Love,"Do we see signs of the young man caller being met at the door by a girl not hatted or asking: ""Where do we go from here, Bill?""",176634555,Historical Newspapers," Blake, Doris
Doris
Doris Blake
Blake
DORIS BLAKE"," Copyright Tribune Publishing Company Dec 12, 1941"," 467917162 , 6067972 , 53854", article," Dec 12, 1941",, English, English,," Chicago, Ill.","Dec 12, 1941",Chicago Daily Tribune (1923-1963),1941,http://search.proquest.com/docview/176634555?accountid=14496, 31,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagotribune&amp;atitle=Good+Cooking+Still+Helps+a+Girl+Win+Love&amp;title=Chicago+Daily+Tribune+%281923-1963%29&amp;issn=&amp;date=1941-12-12&amp;volume=&amp;issue=&amp;spage=31&amp;au=Blake%2C+Doris&amp;isbn=&amp;jtitle=Chicago+Daily+Tribune+%281923-1963%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Tribune
Further Hints On Making Home Livable,"THERE is something almost unbelievable about the way life continues in its familiar routine even through the most devastating events. Though most people in the world will be affected by the outcome of the present war, a comparatively few numerically take part in its action. That, of course, is why civilization persists, even through tremendous crises in the world's history.",151586593,Historical Newspapers," By Elizabeth McRae Boykin
By Elizabeth McRae Boykin"," Copyright The Washington Post Company Feb 14, 1942"," 217233502 , 1947172 , 48614", article," Feb 14, 1942",, English, English,," Washington, D.C.","Feb 14, 1942",The Washington Post (1923-1954),1942,http://search.proquest.com/docview/151586593?accountid=14496, 8,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpwashingtonpost&amp;atitle=Further+Hints+On+Making+Home+Livable&amp;title=The+Washington+Post+%281923-1954%29&amp;issn=&amp;date=1942-02-14&amp;volume=&amp;issue=&amp;spage=8&amp;au=By+Elizabeth+McRae+Boykin&amp;isbn=&amp;jtitle=The+Washington+Post+%281923-1954%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The Washington Post
Two Pretty House Frocks,,176613594,Historical Newspapers,," Copyright Tribune Publishing Company Apr 14, 1942"," 468217502 , 6069032 , 53854", article," Apr 14, 1942",, English, English,," Chicago, Ill.","Apr 14, 1942",Chicago Daily Tribune (1923-1963),1942,http://search.proquest.com/docview/176613594?accountid=14496, 17,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagotribune&amp;atitle=Two+Pretty+House+Frocks&amp;title=Chicago+Daily+Tribune+%281923-1963%29&amp;issn=&amp;date=1942-04-14&amp;volume=&amp;issue=&amp;spage=17&amp;au=&amp;isbn=&amp;jtitle=Chicago+Daily+Tribune+%281923-1963%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Tribune
Dana Villa Central to Many Southland Points of Interest,,165355234,Historical Newspapers,," Copyright Times Mirror Company Jun 19, 1942"," 414745351 , 5723282 , 53850", article," Jun 19, 1942",0458-3035, English, English, A4," Los Angeles, Calif.","Jun 19, 1942",Los Angeles Times (1923-Current File),1942,http://search.proquest.com/docview/165355234?accountid=14496, A4,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnplatimes&amp;atitle=Dana+Villa+Central+to+Many+Southland+Points+of+Interest&amp;title=Los+Angeles+Times+%281923-Current+File%29&amp;issn=04583035&amp;date=1942-06-19&amp;volume=&amp;issue=&amp;spage=A4&amp;au=&amp;isbn=&amp;jtitle=Los+Angeles+Times+%281923-Current+File%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Los Angeles Times
APARTMENT RENTALS,,106586494,Historical Newspapers,," Copyright New York Times Company Jan 2, 1943"," 85066293 , 1493905 , 43896", article," Jan 2, 1943",0362-4331, English, English,," New York, N.Y.","Jan 2, 1943",New York Times (1923-Current file),1943,http://search.proquest.com/docview/106586494?accountid=14496, 21,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimeswindex&amp;atitle=APARTMENT+RENTALS&amp;title=New+York+Times+%281923-Current+file%29&amp;issn=03624331&amp;date=1943-01-02&amp;volume=&amp;issue=&amp;spage=21&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281923-Current+file%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The New York Times with Index
Meat Extenders go Summery!,"JELLIED HAMLOAF entices with its cool sheen, lively seasonings, and zippy flavor. Practical, too! A lower-point cut of meat. Meat tastily extended with those crunchy whole wheat flakes, Wheaties.",176798348,Historical Newspapers," Crocker, Betty
Betty
Betty Crocker
Crocker
Betty Crocker"," Copyright Tribune Publishing Company Jun 13, 1943"," 475196662 , 6085372 , 53854", article," Jun 13, 1943",, English, English,," Chicago, Ill.","Jun 13, 1943",Chicago Daily Tribune (1923-1963),1943,http://search.proquest.com/docview/176798348?accountid=14496, D11,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagotribune&amp;atitle=Meat+Extenders+go+Summery%21&amp;title=Chicago+Daily+Tribune+%281923-1963%29&amp;issn=&amp;date=1943-06-13&amp;volume=&amp;issue=&amp;spage=D11&amp;au=Crocker%2C+Betty&amp;isbn=&amp;jtitle=Chicago+Daily+Tribune+%281923-1963%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Tribune
Accordion Houses Made of Plastics Previewed,"Accordion houses, which can be folded in a few hours and moved to new sites by truck or rail, were demonstrated here today to scientists celebrating inauguration of the Goodyear Tire &amp; Rubber Co.'s new $1,350,000 research laboratory.",165427323,Historical Newspapers,," Copyright Times Mirror Company Jun 23, 1943"," 419428801 , 5751922 , 53850", article," Jun 23, 1943",0458-3035, English, English, A," Los Angeles, Calif.","Jun 23, 1943",Los Angeles Times (1923-Current File),1943,http://search.proquest.com/docview/165427323?accountid=14496, A,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnplatimes&amp;atitle=Accordion+Houses+Made+of+Plastics+Previewed&amp;title=Los+Angeles+Times+%281923-Current+File%29&amp;issn=04583035&amp;date=1943-06-23&amp;volume=&amp;issue=&amp;spage=A&amp;au=&amp;isbn=&amp;jtitle=Los+Angeles+Times+%281923-Current+File%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Los Angeles Times
PROBE MYSTERY IN ODD ILLNESS OF NUDE COUPLE,"Mr. and Mrs. Russell Cadwallader, both presumably victims of a poisonous gas that escaped from a defective mechanical refrigerator in their apartment at 1431...",176798592,Historical Newspapers,," Copyright Tribune Publishing Company Oct 16, 1943"," 471935682 , 6077892 , 53854", article," Oct 16, 1943",, English, English,," Chicago, Ill.","Oct 16, 1943",Chicago Daily Tribune (1923-1963),1943,http://search.proquest.com/docview/176798592?accountid=14496, 14,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagotribune&amp;atitle=PROBE+MYSTERY+IN+ODD+ILLNESS+OF+NUDE+COUPLE%3A+BOTH+TAKEN+UNCONSCIOUS+TO+HOSPITAL.&amp;title=Chicago+Daily+Tribune+%281923-1963%29&amp;issn=&amp;date=1943-10-16&amp;volume=&amp;issue=&amp;spage=14&amp;au=&amp;isbn=&amp;jtitle=Chicago+Daily+Tribune+%281923-1963%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Tribune
Preview Future of Dried Foods at War Exhibit,"The army quartermaster corps' exhibit of dehydrated foods at the Weapons of War show in Burnham park, sponsored by the United States treasury with the cooperation of the army service forces. In the interest of the fifth war loan, brings inquiries from 90 per cent...",176905814,Historical Newspapers,," Copyright Tribune Publishing Company Jul 19, 1944"," 462486582 , 6033792 , 53854", article," Jul 19, 1944",, English, English,," Chicago, Ill.","Jul 19, 1944",Chicago Daily Tribune (1923-1963),1944,http://search.proquest.com/docview/176905814?accountid=14496, 15,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagotribune&amp;atitle=Preview+Future+of+Dried+Foods+at+War+Exhibit&amp;title=Chicago+Daily+Tribune+%281923-1963%29&amp;issn=&amp;date=1944-07-19&amp;volume=&amp;issue=&amp;spage=15&amp;au=&amp;isbn=&amp;jtitle=Chicago+Daily+Tribune+%281923-1963%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Tribune
CANNING EXHIBITION GIVEN BY RED CROSS,"A ""three ring"" canning demonstration with spectators privileged to roam from one room to another to watch the progress of fruits, vegetables and meat from a state of rawness to preservation in a jar by three different methods was held yesterday at the Red Cross instruction center, 401 Fifth Avenue.",106980355,Historical Newspapers,," Copyright New York Times Company Jul 20, 1944"," 86873666-1 , 1504769 , 43896", article," Jul 20, 1944",0362-4331, English, English,," New York, N.Y.","Jul 20, 1944",New York Times (1923-Current file),1944,http://search.proquest.com/docview/106980355?accountid=14496, 13,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimeswindex&amp;atitle=CANNING+EXHIBITION+GIVEN+BY+RED+CROSS&amp;title=New+York+Times+%281923-Current+file%29&amp;issn=03624331&amp;date=1944-07-20&amp;volume=&amp;issue=&amp;spage=13&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281923-Current+file%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The New York Times with Index
Breakfast-Bridge Club Skips Wartime Vacation,"Mrs. Harold Booth Link, who has served for 13 years as president of the Breakfast-Bridge Club, has directed the group in many war services, which are continued throughout vacation time, even though no program meetings are",165544924,Historical Newspapers," Wilson, Bess M
Bess
Bess M Wilson
Wilson
M
BESS M WILSON"," Copyright Times Mirror Company Aug 11, 1944"," 411829011 , 5710382 , 53850", article," Aug 11, 1944",0458-3035, English, English, A5," Los Angeles, Calif.","Aug 11, 1944",Los Angeles Times (1923-Current File),1944,http://search.proquest.com/docview/165544924?accountid=14496, A5,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnplatimes&amp;atitle=Breakfast-Bridge+Club+Skips+Wartime+Vacation%3A+Mrs.+Harold+Booth+Link%2C+President%2C+Continues+Leading+Projects+in+Summer&amp;title=Los+Angeles+Times+%281923-Current+File%29&amp;issn=04583035&amp;date=1944-08-11&amp;volume=&amp;issue=&amp;spage=A5&amp;au=Wilson%2C+Bess+M&amp;isbn=&amp;jtitle=Los+Angeles+Times+%281923-Current+File%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Los Angeles Times
MIDTOWN OFFICES SOLD TO OPERATOR,"A property in the Times Square area passed to new control with the announcement yesterday that Nathan Wilson, operator, had purchased the twelve - story office building at 156 West Forty-fourth Street, near Broadway, from Emil Friedlander.",107019172,Historical Newspapers,," Copyright New York Times Company Aug 26, 1945"," 305535562 , 2294952 , 43896", article," Aug 26, 1945",0362-4331, English, English,," New York, N.Y.","Aug 26, 1945",New York Times (1923-Current file),1945,http://search.proquest.com/docview/107019172?accountid=14496, R1,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimeswindex&amp;atitle=MIDTOWN+OFFICES+SOLD+TO+OPERATOR%3A+BUILDING+ON+WEST+44TH+STREET+TAKEN+BY+NATHAN+WILSON--+DEAL+IN+THE+%27VILLAGE%27&amp;title=New+York+Times+%281923-Current+file%29&amp;issn=03624331&amp;date=1945-08-26&amp;volume=&amp;issue=&amp;spage=R1&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281923-Current+file%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The New York Times with Index
